SSN,Address,City,State,Zip,firstName,lastName,atmNumber,atmPin,creditCartPin
042-34-5324,5114 North 4th,Clarkesdale,MO,64493,Ronald,Jones,42345324,1111,1111
345-65-3425,1805 Jules Saint,Joseph,MO,64503,Mark,lngrem,345653425,2222,2222
423-14-8894,2109 Sylviana,Saint Joseph,MO,64501,Sherry,Harrison,423148894,3333,3333
677-87-9013,4305 West 3rd,Wathena,KS,54910,John,Morgeson,677879013,4444,4444
034-55-9987,0221 South Highly,Saint Joseph,MO,64503,Gary,Gilkerson,34559987,5555,5555
042-35-6789,0335 Jules,Saint Joseph,MO,64503,Mary,Francis,42356789,6666,6666
345-81-2332,1402 Mocking Bird,Saint Joseph,MO,64502,Carolyn,Johnson,345812332,7777,7777
345-87-9912,2105 Senior Dr.,Saint Joseph,MO,64503,Larry,Waite,345879912,8888,8888
423-16-8945,1801 Lovers Ln,Saint Joseph,MO,64502,Marilyn,Macklin,423168945,9999,9999
235-44-5789,2508 Stonecrest,Saint Joseph,MO,64501,Lana,McGlynn,235445789,1010,1010
436-78-9213,4156 N. Mulbury,Saint Joseph,MO,64502,John,Munzer,436789213,4321,4321
233-43-5656,1525 Kioa,Ellwood,KS,56708,Mary,White,233435656,1212,1212
435-67-8787,8902 Martha Ln,Gower,MO,63301,Jerry,Gronius,435678787,1313,1313
563-43-2913,1532 Lovers Ln,Saint Joseph,MO,64501,Martin,Williams,563432913,1414,1414
034-56-7989,8703 Park Ln,Saint Joseph,MO,64503,Broderick,Jones,34567989,1515,1515
681-32-3021,8933 Libby Ln,Maysville,MO,64469,Bob,Marley,681323021,1616,1616
398-55-2301,1258 Washington St,King City,MO,64463,Tony,Stark,398552301,1717,1717
223-12-2461,2788 Kentucky St,Country Club,MO,64506,Lebron,James,223122461,1818,1818
117-30-2034,6798 Park Ave,Atchison,KS,66002,Heather,Williams,117302034,1919,1919
159-23-6709,9001 Boardwalk St,Savannah,MO,64485,Easton,Porter,159236709,2020,2020
869-20-1922,5340 S. West Lane,Lee's Summit,MO,64056,Billy,Smith,869201922,7890,7890
111-11-1111,asdf,asdf,AL,12345,asdf,asdf,917599149,1234,1234
