cdAcctNum,balance,interestRate,startDate,endDate,monthlyPayment,SSN
148227888,1000.0,0.7,05/04/2022,05/04/2027,0.0,117-30-2034
065264187,10000.0,1.2,05/04/2022,05/04/2037,0.0,677-87-9013
868870388,500.0,0.1,05/04/2022,05/04/2027,150.0,042-35-6789
876556670,500.0,0.01,05/04/2022,05/04/2027,105.0,563-43-2913
878621931,500.0,0.01,05/05/2022,05/05/2027,1205.0,681-32-3021
601110578,500.0,0.01,05/04/2022,05/04/2027,1212.0,034-56-7989
206691003,500.0,0.01,05/04/2022,05/04/2027,8.416666666666666,034-56-7989
750380231,500.0,0.01,05/04/2022,05/04/2027,8.541666666666666,681-32-3021
014573895,500.0,0.01,05/05/2022,05/05/2027,8.54,042-34-5324
508434153,500.0,0.01,05/05/2022,05/05/2027,8.54,042-34-5324
