savingsAcctNum,balance,interestRate,startDate,SSN
453245114,1000.0,1.56,02/02/1916,042-34-5324
345653425,1000.0,3.24,06-28-1999,345-65-3426
423148894,100000.0,5.45,08-22-2000,423-14-8894
677879013,4561.0,2.4,11-19-1955,677-87-9013
345599870,7834.0,1.1,12-16-2001,034-55-9987
423567890,34575.0,0.9,08-22-1989,042-35-6789
345812332,45315.0,0.45,02-22-1988,345-81-2332
345879912,7899.0,0.2,01-01-1978,345-87-9912
423168945,9999.0,0.69,01-23-1987,423-16-8945
235445789,753.0,2.2,01-23-2002,235-44-5789
436789213,45.0,0.11,08-22-2005,436-78-9213
233435656,78654.0,1.3,07-25-2007,233-43-5656
435678787,1234.0,5.5,09-20-2009,435-67-8787
563432913,4567894.0,1.6,07-12-1999,563-43-2913
345679890,42025.0,1.2,01-26-1965,034-56-7989
459815156,6925.0,0.5,05-27-1977,681-32-3021
848561515,2.69,11.0,07-22-1977,398-55-2301
262648646,7542.0,0.25,05-24-1955,223-12-2461
995431584,45667.0,1.6,03-21-1945,117-30-2034
846851531,75431.0,2.9,12-12-1912,159-23-6709
